id	word	phonetic	definition	example	translation	source
1291	corn	[kɔrn]	n. （美）玉米；（英）谷物；[皮肤] 鸡眼 / vt. 腌；使成颗粒 / n. (Corn)人名；(英、法、瑞典)科恩	Sweet corn tastes best eaten with salt and butter.	甜玉米在吃的时候加上盐和黄油味道最好。	Anki 高频单词6262
1292	corner	['kɔrnər]	n. 角落，拐角处；地区，偏僻处；困境，窘境 / vt. 垄断；迫至一隅；使陷入绝境；把…难住 / vi. 囤积；相交成角 / n. (Corner)人名；(法)科尔内；(英)科纳	The girl sat in the corner of the room.	女孩坐在房间的角落里。	Anki 高频单词6262
1293	coroner	['kɔrənər]	n. 验尸官 / n. (Coroner)人名；(法)科罗内	The coroner was trying to discover the cause of her death.	验尸官试图找出她的死因。	Anki 高频单词6262
1294	corporate	['kɔrp(ə)rət]	adj. 法人的；共同的，全体的；社团的；公司的；企业的	In a corporate job, you always have to think about profit.	在公司工作，你时刻都得考虑到利益。	Anki 高频单词6262
1295	corporation	[.kɔrpə'reɪʃ(ə)n]	n. 公司；法人（团体）；社团；大腹便便；市政当局	Baicizhan is a corporation with great morals and strong work ethics!!!	百词斩是一家超有节操和职业道德的公司！！！	Anki 高频单词6262
1296	corps	[kɔr]	n. 军团；兵种；兵队；（德国大学的）学生联合会 / n. (Corps)人名；(西、德)科尔普斯	The army corps are ready for battle.	部队已经做好打仗的准备。	Anki 高频单词6262
1297	corpse	[kɔː(r)ps]	n. 尸体	We put tags on the corpse's foot so we can identify it.	我们在尸体的脚上放上标签，这样就可以辨认他们。	Anki 高频单词6262
1298	correct	[kə'rekt]	adj. 正确的；恰当的；端正的 / vt. 改正；告诫 / vi. 调整；纠正错误	His answers are all correct.	他的答案全是正确的。	Anki 高频单词6262
1299	correction	[kə'rekʃ(ə)n]	n. 改正，修正	I used an eraser to make corrections to my homework.	我用橡皮来改正作业。	Anki 高频单词6262
1300	correlate	['kɔ:rəleɪt]	n. 相关物；相关联的人 / vt. 使有相互关系；互相有关系 / adj. 关联的 / vi. 关联	The two lines are correlated.	这两条线是相互关联的。	Anki 高频单词6262
1301	correlation	[.kɔrə'leɪʃ(ə)n]	n. [数] 相关，关联；相互关系	There is a strong correlation between stock price and profits.	股票价格和利润之间有很明显的相关性。	Anki 高频单词6262
1302	correspond	[.kɔrə'spɑnd]	vi. 符合，一致；相应；通信	I haven’t seen her in years, but we still correspond by mail.	我好几年没见她了，但我们依然通信联系。	Anki 高频单词6262
1303	correspondence	[.kɔrə'spɑndəns]	n. 通信；一致；相当	She checked her mailbox for correspondence.	她查看了邮箱里的信件。	Anki 高频单词6262
1304	correspondent	[.kɔrə'spɑndənt]	n. 通讯记者；客户；通信者；代理商行	After the earthquake, a news correspondent was on the scene within an hour.	地震发生了以后，新闻记者在一小时之内就赶到了现场。	Anki 高频单词6262
1305	corresponding	[.kɔrə'spɑndɪŋ]	adj. 相当的，相应的；一致的；通信的 / v. 类似（correspond的ing形式）；相配	Each medal winner should stand on the corresponding platform.	每一位奖牌得主都要站在相应的领奖台上。	Anki 高频单词6262
1306	corridor	['kɔrɪ.dɔr]	走廊	The corridor was very clean and hygienic.	走廊十分干净整洁。	Anki 高频单词6262
1307	corrupt	[kə'rʌpt]	adj. 腐败的，贪污的；堕落的 / vt. 使腐烂；使堕落，使恶化 / vi. 堕落，腐化；腐烂	The doctor is totally corrupt; he takes money from companies to use their medicine.	这个医生完全是腐败的，哪个公司给他钱，他就用谁的药。	Anki 高频单词6262
1308	corruption	[kə'rʌpʃ(ə)n]	n. 贪污，腐败；堕落	That big amount of money is the evidence of corruption.	这一大堆钱就是腐败的证据。	Anki 高频单词6262
1309	cost	[kɔst]	n. 费用，代价，成本；损失 / vt. 花费；使付出；使花许多钱 / vi. 花费 / n. (Cost)人名；(英、罗)科斯特	This bra costs $200! How expensive!	这件内衣要200刀！太贵了吧！	Anki 高频单词6262
1310	costly	['kɔs(t)li]	adj. 昂贵的；代价高的 / n. (Costly)人名；(英)科斯特利	This house is not as costly as I thought.	这房子没有我预期的那么贵。	Anki 高频单词6262
1311	costume	[ˈkɑstum]	n. 服装，装束；戏装，剧装 / vt. 给…穿上服装	The actors are in costume for the show.	演员们已经为表演穿好了剧服。	Anki 高频单词6262
1312	cosy	['koʊzi]	n. 保温罩 / adj. 舒适的；惬意的	The cat seems so cosy sleeping in the soft blanket.	小猫睡在那个柔软的毯子里面，看起来真是舒适极了。	Anki 高频单词6262
1313	cottage	['kɑtɪdʒ]	n. 小屋；村舍；（农舍式的）小别墅	These three cottages are all the same.	这三幢小屋完全一样。	Anki 高频单词6262
1314	cotton	['kɑt(ə)n]	n. 棉花；棉布；棉线 / adj. 棉的；棉制的 / vi. 一致；理解；和谐；亲近 / n. (Cotton)人名；(英、西、葡)科顿；(法)戈登	I love cotton candy so much!	我爱死棉花糖啦！	Anki 高频单词6262
1315	cough	[kɑf]	n. 咳嗽，咳嗽声；咳嗽病 / vt. 咳出 / vi. 咳嗽 / n. (Cough)人名；(英)考夫	It's polite to cover your mouth when you cough.	咳嗽的时候挡着嘴是种礼貌。	Anki 高频单词6262
1316	could	[kəd]	aux. 能够 / v. 能（can的过去式）	Could you please come down here?	你可以下来一下么？	Anki 高频单词6262
1317	council	['kaʊns(ə)l]	n. 委员会；会议；理事会；地方议会；顾问班子 / n. (Council)人名；(英)康斯尔	All the members of the council were given equal importance.	理事会所有成员都同等重要。	Anki 高频单词6262
1318	councillor	['kaʊnsələr]	n. 议员；顾问；参赞（等于councilor）	The councillor visited our school on Monday.	这位议员星期一参观了我们学校。	Anki 高频单词6262
1319	counsel	['kaʊns(ə)l]	n. 法律顾问；忠告；商议；讨论；决策 / vt. 建议；劝告 / vi. 商讨；提出忠告	If the police arrest you, you should find a legal counsel.	如果警察逮捕你，你就应该找个律师。	Anki 高频单词6262
1320	counselling	['kaʊnsəlɪŋ]	n. 辅导；建议	The student received counselling after the accident.	事故后，这名学生接受了心理辅导。	Anki 高频单词6262
1321	counsellor	['kaʊnsələr]	n. 顾问；参赞；辅导员（等于counselor）；律师；法律顾问	The school counsellor helped me choose my classes.	学校辅导员帮助我选择课程。	Anki 高频单词6262
1322	count	[kaʊnt]	n. 计数；计算；伯爵 / vt. 计算；认为 / vi. 计数；有价值 / n. (Count)人名；(法、德、南非)伯爵(欧洲贵族头衔)， 康特(人名)	Counting the number of sheep helps me to fall asleep.	数羊羊帮我进入梦乡。	Anki 高频单词6262
1323	counter	['kaʊntər]	n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码 / vi. 逆向移动，对着干；反驳 / adj. 相反的 / vt. 反击，还击；反向移动，对着干；反驳，回答 / adv. 反方向地；背道而驰地	“We’re open!” said the girl at the counter.	“我们开张啦！”在柜台的女孩说。	Anki 高频单词6262
1324	counterpart	['kaʊntər.pɑrt]	n. 副本；配对物；极相似的人或物	I stared right in the face of my counterpart.	我直盯着这个极像我的人的脸。	Anki 高频单词6262
1325	countless	['kaʊntləs]	adj. 无数的；数不尽的	There are countless stars visible tonight.	今晚可以看到数不清的星星。	Anki 高频单词6262
1326	country	['kʌntri]	n. 国家，国土；国民；乡下，农村；乡村；故乡 / adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的	The country that I would like to go to the most is the USA.	我最想去的国家是美国。	Anki 高频单词6262
1327	countryside	[ˈkʌntriˌsaɪd]	n. 农村，乡下；乡下的全体居民	I like the road in countryside.	我喜欢乡间的小路。	Anki 高频单词6262
1328	county	['kaʊnti]	n. 郡，县	This state is divided into several counties.	这个国家被分为了若干个郡。	Anki 高频单词6262
1329	coup	[ku]	n. 政变；妙计；出乎意料的行动；砰然的一击 / vt. 使…颠倒；使…倾斜 / vi. 推倒；倾斜；溢出 / n. (Coup)人名；(法)库普	The unpopular government eventually fell in a coup organized by the workers.	这个不得民心的政府最终遭受了由工人组织的政变。	Anki 高频单词6262
1330	couple	['kʌp(ə)l]	n. 对；夫妇；数个 / vt. 结合；连接；连合 / vi. 结合；成婚 / n. (Couple)人名；(法)库普勒	The couple looks very happy.	这对夫妇看上去很幸福。	Anki 高频单词6262
1331	coupon	['ku.pɑn]	n. 息票；赠券；联票；[经] 配给券	This coupon will give you 50% off on most products.	使用这张折扣券，大多数商品都能得到50%的优惠。	Anki 高频单词6262
1332	courage	['kʌrɪdʒ]	n. 勇气；胆量 / n. (Courage)人名；(英)卡里奇；(法)库拉热	This man has a lot of courage to jump.	这个男人有勇气往下跳。	Anki 高频单词6262
1333	course	[kɔː(r)s]	n. 科目；课程；过程；进程；道路；路线，航向；一道菜 / vt. 追赶；跑过 / vi. 指引航线；快跑	My biology course was cancelled from Monday's school schedule.	我周一的生物课取消了。	Anki 高频单词6262
1334	court	[kɔːrt ]	n. 法院；球场；朝廷；奉承 / vt. 招致（失败、危险等）；向…献殷勤；设法获得 / vi. 求爱 / n. (Court)人名；(英)考特；(法)库尔	There's nobody in the court room.	没有人留在法庭上了。	Anki 高频单词6262
1335	courtesy	['kɜrtəsi]	n. 礼貌；好意；恩惠 / adj. 殷勤的；被承认的；出于礼节的	He helped her off the bus out of courtesy.	他出于礼貌扶她下了车。	Anki 高频单词6262
1336	cousin	['kʌz(ə)n]	n. 堂兄弟姊妹；表兄弟姊妹	I always play with my little cousin.	我总是跟我的小表妹玩。	Anki 高频单词6262
1337	cover	['kʌvər]	n. 封面，封皮；盖子；掩蔽物;幌子，借口 / vt. 包括；采访，报导；涉及 / vi. 覆盖；代替 / n. (Cover)人名；(英)科弗；(意)科韦尔	I don't use my swimming pool in the winter , so I cover it.	冬季我不用游泳池，所以我把它盖上。	Anki 高频单词6262
1338	coverage	['kʌv(ə)rɪdʒ]	n. 覆盖，覆盖范围；新闻报道	News coverage of the event lasted for days; there were reporters everywhere.	关于这个事件的新闻报道持续了好几天，（那几天）到处都是记者。	Anki 高频单词6262
1339	cow	[kaʊ]	n. 奶牛，母牛；母兽 / vt. 威胁，恐吓	We use our cows for meat and milk.	我们需要母牛来提供肉和奶。	Anki 高频单词6262
1340	crack	[kræk]	n. 裂缝；声变；噼啪声 / adj. 最好的；高明的 / vi. 破裂；爆裂 / vt. 使破裂；打开；变声	I cracked my phone by hitting the nut; I miss my Nokia.	我砸核桃把手机砸裂了；真怀念我（以前）的诺基亚。	Anki 高频单词6262
1341	cradle	['kreɪd(ə)l]	n. 摇篮；发源地；发祥地；支船架 / vt. 抚育；把...搁在支架上；把...放在摇篮内	The baby slept in the cradle tonight.	晚上婴儿在摇篮中安睡。	Anki 高频单词6262
1342	craft	[kræft]	n. 工艺；手艺；太空船 / vt. 精巧地制作 / n. (Craft)人名；(英、德、罗)克拉夫特	The mother loves to do crafts with her kids.	妈妈喜欢跟她的孩子们一起做手工。	Anki 高频单词6262
1343	carm		n. (Carm)人名；(西、瑞典)卡姆 / abbr. 回旋自动谐振脉塞	The word carm can be used as a family name.	carm 这个词可以用作姓氏。	Anki 高频单词6262
1344	crane	[kreɪn]	n. 吊车，起重机；鹤 / vt. 用起重机起吊；伸长脖子 / vi. 伸着脖子看；迟疑，踌躇 / n. (Crane)人名；(意、葡)克拉内；(英、法、西)克兰	The cranes on the construction site were used to raise heavy objects.	施工工地的起重机是用来吊起重物的。	Anki 高频单词6262
1345	crash	[kræʃ]	n. 撞碎；坠毁；破产；轰隆声；睡觉 / vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产 / vt. 打碎；使坠毁、撞坏；擅自闯入	It was a serious car crash.	这是一次严重的车祸。	Anki 高频单词6262
1346	crawl	[krɔl]	n. 爬行；养鱼池；匍匐而行 / vt. 爬行；缓慢地行进 / vi. 爬行；匍匐行进	The baby crawls forward on his arms and legs.	小婴儿手脚并用地爬行向前。	Anki 高频单词6262
1347	crazy	[ˈkreɪzi]	adj. 疯狂的；狂热的，着迷的	The crazy man wears a skirt.	这个疯狂的男人穿着短裙。	Anki 高频单词6262
1348	cream	[krim]	n. 奶油，乳脂；精华；面霜；乳酪	This cream will make you younger.	这种乳霜会让你变的更年轻。	Anki 高频单词6262
1349	create	[kri'eɪt]	vt. 创造，创作；造成	I created the painting all by myself.	我全靠自己创作了这幅画。	Anki 高频单词6262
1350	creation	[kri'eɪʃ(ə)n]	n. 创造，创作；创作物，产物	No, I did not copy the design; this is my own creation.	不，我没有抄别人的设计，这都是我自己的创作。	Anki 高频单词6262
1351	creative	[krɪˈeɪtɪv]	adj. 创造性的	Painting helps children learn to be creative.	绘画有利于孩子学着更具创造性。	Anki 高频单词6262
1352	creativity	[.krieɪ'tɪvəti]	n. 创造力；创造性	Art class helps students develop creativity.	美术课帮助学生发展创造力。	Anki 高频单词6262
1353	creator	[kri'eɪtər]	n. 创造者；创建者	This sculpture's creator was trying to express the beauty of the female form.	这个雕塑的创造者正在试图展现女性美。	Anki 高频单词6262
1354	creature	['kritʃər]	n. 动物，生物；人；创造物	Is your favorite creature the dog, cat, or rabbit?	你最喜欢的动物是狗，猫还是兔子？	Anki 高频单词6262
1355	credibility	[.kredɪ'bɪləti]	n. 可信性；确实性	The hat and the badge give a policeman credibility.	帽子和帽徽给警察增加了可信度。	Anki 高频单词6262
1356	credible	['kredɪb(ə)l]	adj. 可靠的，可信的	He checked to make sure the source of the story was credible.	他通过检查确定故事的来源是可靠的。	Anki 高频单词6262
1357	credit	['kredɪt]	n. 信用，信誉；[金融] 贷款；学分；信任；声望 / vt. 相信，信任；把…归给，归功于；赞颂	It’s better to use a credit card than to carry cash.	刷信用卡比付现金要好。	Anki 高频单词6262
1358	credit card		信用卡；记帐卡	My mother paid for the meal with a credit card.	我妈妈用信用卡支付了这顿饭。	Anki 高频单词6262
1359	creditor	['kredɪtər]	n. 债权人，贷方	I need to pay my creditor ASAP.	我需要尽快还债。	Anki 高频单词6262
1360	creep	[krip]	n. 爬行；毛骨悚然的感觉；谄媚者 / vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩	The cat is slowly creeping towards her.	那只猫慢慢地悄悄爬向她。	Anki 高频单词6262
1361	crew	[kru]	n. 队，组；全体人员，全体船员 / vt. 使当船员 / vi. 一起工作 / n. (Crew)人名；(英、西)克鲁	The crew members enjoyed their journey in searching for One Piece.	船员们在寻找One Piece的旅途中玩儿得可开心了。	Anki 高频单词6262
1362	cricket	[ˈkrɪkɪt]	n. 板球，板球运动；蟋蟀	Crickets are some of the loudest insects--they can chirp all night.	蟋蟀是最吵闹的昆虫之一，它们可以唧唧喳喳一整晚。	Anki 高频单词6262
1363	crime	[kraɪm]	n. 罪行，犯罪；罪恶；犯罪活动 / vt. 控告……违反纪律	Those who commit crimes must be severely punished.	那些罪犯必须受到严惩。	Anki 高频单词6262
1364	criminal	['krɪmɪn(ə)l]	n. 罪犯 / adj. 刑事的；犯罪的；罪恶的	The criminal was given life imprisonment.	这个罪犯被判终身监禁。	Anki 高频单词6262
1365	crisis	['kraɪsɪs]	n. 危机；危险期；决定性时刻 / adj. 危机的；用于处理危机的	The employment crisis has affected many families.	就业危机影响了很多家庭。	Anki 高频单词6262
1366	crisp	[krɪsp]	adj. 脆的；新鲜的；易碎的 / vt. 使卷曲；使发脆 / vi. 卷曲；发脆 / n. 松脆物；油炸马铃薯片 / n. (Crisp)人名；(英)克里斯普	I eat these because they're crisp and crunchy.	我吃它们是因为它们又脆又酥。	Anki 高频单词6262
1367	criteria	[kraɪ'tɪriən]	n. 标准，条件（criterion的复数）	What are the criteria for success to you?	你眼里成功的标准是什么？	Anki 高频单词6262
1368	critic	[ˈkritik]	n. 批评家，评论家；爱挑剔的人	I enjoy working as a movie critic.	我喜欢做电影评论家。	Anki 高频单词6262
1369	critical	['krɪtɪk(ə)l]	adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的	The patient is in critical condition—move quickly!	病人处境非常危险，动作要快！	Anki 高频单词6262
1370	critically	[ˈkrɪtɪkli]	adv. 精密地；危急地；严重地；批评性地；用钻研眼光地；很大程度上；极为重要地	We should think critically before making a decision.	做决定前我们应该批判性地思考。	Anki 高频单词6262
1371	criticism	['krɪtɪ.sɪzəm]	n. 批评；考证；苛求	You should expect a lot of criticism when starting a new job.	开始一项新工作的时候，你就应该想到会受到很多批评。	Anki 高频单词6262
1372	criticize	[ˈkrɪtɪsaɪz ]	vi. 批评；评论；苛求 / vt. 批评；评论；非难	The man often criticized his wife for spending too much money.	这个男人常常批评他老婆花太多钱。	Anki 高频单词6262
1373	critique	[kriˈtiːk]	n. 批评；评论文章 / vt. 批判；评论	Don't be upset when someone critiques your work.	当有人批评你的工作时，别沮丧。	Anki 高频单词6262
1374	crop	[krɑp]	n. 产量；农作物；庄稼；平头 / vt. 种植；收割；修剪；剪短 / vi. 收获	We’ll have a good crop this year—look at how big the plants are already.	今年我们将会有一个好收成——看这些作物已经这么大了。	Anki 高频单词6262
1375	cross	[krɔs]	n. 交叉，十字；十字架，十字形物 / adj. 交叉的，相反的；乖戾的；生气的 / vt. 杂交；渡过；使相交 / vi. 交叉；杂交；横过	Always use a crosswalk when you cross the road.	过马路的时候请走人行道。	Anki 高频单词6262
1376	cross country		越野赛，横越全国的	He joined the cross country team this year.	他今年加入了越野跑队。	Anki 高频单词6262
1377	crossing	['krɔsɪŋ]	n. 十字路口；杂交；横渡；横道 / v. 横越（cross的现在分词）	It's a busy street, so you should cross at the crossing.	这是条繁忙的大街，你必须走人行横道过马路。	Anki 高频单词6262
1378	crossword	['krɔs.wɜrd]	n. 纵横字谜；纵横填字谜（等于cross puzzle）	These crossword puzzles are so hard! I'm terrible at them.	这些纵横字谜太难了！我不擅长。	Anki 高频单词6262
1379	crouch	[kraʊtʃ]	n. 蹲伏 / n. (Crouch)人名；(英)克劳奇 / vt. 低头；屈膝 / vi. 蹲伏，蜷伏；卑躬屈膝	The blonde woman in the blue skirt crouches.	那个穿蓝色裙子的金发女士蹲下了。	Anki 高频单词6262
1380	crowd	[kraʊd]	n. 群众,一伙;一堆,许多,大众 / v. 拥挤,挤满,挤进 / vt. 挤满,将...塞进;催促,催逼 / vi. 挤,拥挤,聚集	There was a large crowd of people there.	当时那儿有很多人。	Anki 高频单词6262
1381	crowded	['kraʊdəd]	adj. 拥挤的；塞满的 / v. 拥挤（crowd的过去分词）	This bus is a bit too crowded. I think I'll wait for the next one.	这辆公交车有点太挤了，我想我会等下一辆。	Anki 高频单词6262
1382	crown	[kraʊn]	n. 王冠；花冠；王权；顶点 / vt. 加冕；居…之顶；表彰；使圆满完成 / n. (Crown)人名；(英)克朗	The king wears a golden crown on his head.	国王头上戴了个金王冠。	Anki 高频单词6262
1383	crucial	['kruʃ(ə)l]	adj. 重要的；决定性的；定局的；决断的	The red cog is crucial; all other cogs depend on it.	红色的钝齿至关重要，其他的钝齿依附其运转。	Anki 高频单词6262
1384	crude	[krud]	n. 原油；天然的物质 / adj. 粗糙的；天然的，未加工的；粗鲁的	He built the crude log house by himself.	他自己一手建造了这个简陋的木屋。	Anki 高频单词6262
1385	cruel	['kruəl]	adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的	The cruel man takes the boy’s backpack.	这个残忍的男人拿走了男孩的书包。	Anki 高频单词6262
1386	cruelty	['kruəlti]	n. 残酷；残忍；残酷的行为	The piggy is treated with cruelty.	猪受到残忍的对待。	Anki 高频单词6262
1387	cruise	[kruz]	n. 巡航，巡游；乘船游览 / vt. 巡航，巡游；漫游 / vi. 巡航，巡游；漫游 / n. (Cruise)人名；(德)克鲁伊泽；(英)克鲁斯	For our summer vacation, we took a cruise to a beautiful island.	我们暑假的时候，坐船去了一个美丽的小岛。	Anki 高频单词6262
1388	crush	[krʌʃ]	n. 粉碎；迷恋；压榨；拥挤的人群 / vt. 压碎；弄皱，变形；使…挤入 / vi. 挤；被压碎	My car was totally crushed in the accident.	我的车在车祸中完全被压坏了。	Anki 高频单词6262
1389	crust	[krʌst]	n. 地壳；外壳；面包皮；坚硬外皮 / vi. 结硬皮；结成外壳 / vt. 盖以硬皮；在…上结硬皮	I like bread, but hate bread crust.	我喜欢面包，但我讨厌面包皮。	Anki 高频单词6262
1390	cry	[kraɪ]	n. 叫喊；叫声；口号；呼叫 / vi. 哭；叫；喊 / vt. 叫喊；哭出；大声说	It seems that she cried just now.	她好像刚才哭过了。	Anki 高频单词6262
1391	cue	[kju]	n. 提示，暗示；线索 / vt. 给…暗示 / n. (Cue)人名；(西)库埃	In pool, you hit the ball with the cue.	在撞球运动里，你要用球杆去击球。	Anki 高频单词6262
1392	cult	[kʌlt]	n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒	Many people think that members of this cult worship the Devil.	很多人认为这次祭礼的成员崇拜恶魔。	Anki 高频单词6262
1393	cultivate	['kʌltɪ.veɪt]	vt. 培养；陶冶；耕作	I’ll need to cultivate my fields well if I want my crops to grow.	如果我想让我的作物生长，我就得把我的田地耕作好。	Anki 高频单词6262
1394	cultivation	[ˌkʌltɪˈveɪʃ(ə)n]	n. 培养；耕作；耕种；教化；文雅	We only use organic cultivation methods on our farm.	我们农场里只采用有机培育法。	Anki 高频单词6262
1395	cultural	['kʌltʃərəl]	adj. 文化的；教养的	Plays, songs, and national dress are part of our cultural heritage.	戏剧，戏曲还有民族服装是我们的文化遗产的一部分。	Anki 高频单词6262
1396	culture	['kʌltʃər]	n. 文化，文明；修养；栽培 / vt. [细胞][微] 培养（等于cultivate）	The way we eat dinner is different in our culture: before eating we must say a prayer.	在我们的文化中，我们吃饭的方式是不同的：饭前我们必须做祷告。	Anki 高频单词6262
1397	cumulative	['kjumjələtɪv]	adj. 累积的	The cumulative increases resulted in strong growth.	累计的增加导致了强劲的增长。	Anki 高频单词6262
1398	cup	[kʌp]	n. 杯子；奖杯；酒杯 / vt. 使成杯状；为…拔火罐	Would you like a cup of tea?	你想来一杯茶么？	Anki 高频单词6262
1399	cupboard	[ˈkʌbə(r)d]	n. 碗柜；食橱	We keep all our plates and bowls in the cupboard.	我把我们所有的盘子和碗都放在橱柜里。	Anki 高频单词6262
1400	cure	[kjʊr]	n. 治愈，治疗	These pills will cure your sickness.	这些药片能治好你的病。	Anki 高频单词6262
1401	curiosity	[.kjʊri'ɑsəti]	n. 好奇，好奇心；珍品，古董，古玩	She showed a lot of curiosity about what was going on in the other room.	她对另外一间屋子发生的事充满好奇。	Anki 高频单词6262
1402	curious	['kjʊriəs]	adj. 好奇的，有求知欲的；古怪的；爱挑剔的	The kitten is curious about that cactus.	小猫对那盆仙人掌很好奇。	Anki 高频单词6262
1403	curiously	['kjʊriəsli]	adv. 好奇地	That's a very curiously placed conference table!	那些会议桌摆放得不可思议。	Anki 高频单词6262
1404	curl	[kɜrl]	n. 卷曲；卷发；螺旋状物 / n. (Curl)人名；(英)柯尔 / vt. 使…卷曲；使卷起来 / vi. 卷曲；盘绕	Her blonde curls are very beautiful.	她金色的卷发十分好看。	Anki 高频单词6262
1405	curly	['kɜrli]	adj. 卷曲的；卷毛的；（木材）有皱状纹理的；蜷缩的	Her hair is so curly because she uses a special hair product.	她头发很卷，因为她用了特殊的美发产品。	Anki 高频单词6262
1406	currency	['kʌrənsi]	n. 货币；通货	The Yen is the currency of Japan.	日元是日本的流通货币。	Anki 高频单词6262
1407	current	[ˈkʌrənt]	n. （水，气，电）流；趋势；涌流 / adj. 现在的；流通的，通用的；最近的；草写的 / n. (Current)人名；(英)柯伦特	“Is the news current?” “No, it’s from yesterday.”	“这是最新的新闻吗？” “不，这是昨天的了。”	Anki 高频单词6262
1408	currently	['kʌrənt(ə)li]	adv. 当前；一般地	Google's stock price is currently around $600 per share.	谷歌现在的股价是每股600美金左右。	Anki 高频单词6262
1409	curriculum	[kə'rɪkjələm]	n. 课程 总课程	The curriculum includes math, science and English.	这些课程包含数学、科学和英语。	Anki 高频单词6262
1410	curse	[kɜrs]	n. 诅咒；咒骂 / vt. 诅咒；咒骂 / vi. 诅咒；咒骂	The witch lays a curse on her enemy.	巫婆在她的敌人身上下了诅咒。	Anki 高频单词6262
1411	curtain	['kɜrt(ə)n]	n. 幕；窗帘 / vt. 遮蔽；装上门帘	He used one hand to open the curtain.	他用一只手拉开了幕布。	Anki 高频单词6262
1412	curve	[kɜrv]	n. 曲线；弯曲；曲线球；曲线图表 / adj. 弯曲的；曲线形的 / vt. 弯；使弯曲 / vi. 成曲形	Make sure to turn, as the road curves up ahead.	前方有弯道，记得转弯。	Anki 高频单词6262
1413	curved	[kɜrvd]	n. 倒弧角 / adj. 弯曲的；弄弯的 / vt. 弯曲（curve的过去式）	The road is curved near the mountain.	山附近的道路是弯曲的。	Anki 高频单词6262
1414	cushion	['kʊʃ(ə)n]	n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄 / vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击	There are many cushions on the bed.	床上有很多垫子。	Anki 高频单词6262
1415	custody	[ˈkʌstədi]	n. 保管；监护；拘留；抚养权	They arrested me and I was taken into custody.	他们逮捕了我，之后我被拘留了。	Anki 高频单词6262
1416	custom	['kʌstəm]	n. 习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客 / adj. （衣服等）定做的，定制的	It's a custom for women to cover their faces in some places.	在有的地方有女子要把脸蒙起来的习俗。	Anki 高频单词6262
1417	customary	['kʌstə.meri]	n. 习惯法汇编 / adj. 习惯的；通常的	In China, it's customary to eat food with chopsticks.	在中国，用筷子吃饭是种习俗。	Anki 高频单词6262
1418	customer	['kʌstəmər]	n. 顾客；家伙	An intelligent customer will think hard before buying an expensive pair of shoes.	一个聪明的顾客会在买一双昂贵的鞋子之前会好好思考一番。	Anki 高频单词6262
1419	customs	['kʌstəmz]	n. 海关；风俗（custom的复数）；习惯；关税	I had to speak with a customs agent at the airport.	我不得不回答机场的海关检查员的问题。	Anki 高频单词6262
1420	cut	[kʌt]	n. 伤口；切口；削减；（服装等的）式样；削球；切入 / adj. 割下的；雕过的；缩减的 / vt. [机] 切割；削减；缩短；刺痛 / vi. [机] 切割；相交；切牌；停拍；不出席	I like the way he cuts my hair.	我喜欢他给我剪的头发。	Anki 高频单词6262
1421	cutting	['kʌtɪŋ]	n. [机] 切断；剪辑；开凿 / v. 削减（cut的ing形式）；采伐；切开 / adj. 锋利的；严寒的；尖酸刻薄的 / n. (Cutting)人名；(英)卡廷	I collected some cuttings from the newspapers.	我从报纸上收集了一些剪报。	Anki 高频单词6262
1422	CV	[.si 'vi]	abbr. 简历（Curriculum Vitae）	The interviewer looked over my CV carefully.	面试官仔细地看了我的履历表。	Anki 高频单词6262
1423	cycle	['saɪk(ə)l]	n. 循环；周期；自行车；整套；一段时间 / vt. 使循环；使轮转 / vi. 循环；骑自行车；轮转	I have to make a diagram of the water cycle for class.	我必须做一个图解给班上的同学来讲解水循环。	Anki 高频单词6262
1424	cyclist	['saɪklɪst]	n. 骑自行车的人	The cyclist is on the bicycle.	这名车手在骑自行车。	Anki 高频单词6262
1425	cylinder	['sɪlɪndər]	n. 圆筒；汽缸；[数] 柱面；圆柱状物	The fuel was transported in a tank shaped in the form of a cylinder.	运输燃料用的是圆筒形的缸。	Anki 高频单词6262
1426	cynical	['sɪnɪk(ə)l]	adj. 愤世嫉俗的；冷嘲的	Don't be so cynical! I really was trying to help you.	不要这么愤世嫉俗嘛，我那是在帮你。	Anki 高频单词6262
1427	dad	[dæd]	n. 爸爸；爹爹 / n. (Dad)人名；(孟、巴基、阿富)达德；(泰)达	This dad can do many things at the same time.	这位父亲能同时做很多事情。	Anki 高频单词6262
1428	daddy	['dædi]	n. 爸爸	The little girl ran to her daddy after school.	放学后，小女孩跑向她的爸爸。	Anki 高频单词6262
